iter	Logloss
406	0.1411573128
407	0.1409515433
408	0.1405397193
409	0.140429867
410	0.1401801305
411	0.1398672775
412	0.1397352937
413	0.1395414598
414	0.1394257675
415	0.1391970522
416	0.1388868914
417	0.1387655612
418	0.1385541639
419	0.1384343417
420	0.1382624481
421	0.1380657544
422	0.1378657317
423	0.1377525172
424	0.1375447139
425	0.1373281245
426	0.1370307349
427	0.1368723926
428	0.1366682402
429	0.1363468395
430	0.1362152997
431	0.1359922942
432	0.1359151415
433	0.1357068595
434	0.1354209983
435	0.1353416824
436	0.1351710719
437	0.1350645008
438	0.1349463774
439	0.1346277788
440	0.1344587351
441	0.1341671163
442	0.1340016293
443	0.1336745189
444	0.1334738978
445	0.1333332596
446	0.1331967989
447	0.1328796115
448	0.1326836482
449	0.1323834826
450	0.1320360586
451	0.1318869334
452	0.1316604804
453	0.1314178796
454	0.1312647431
455	0.1311279353
456	0.1310163847
457	0.1307176076
458	0.1306199306
459	0.1304085123
460	0.1302128469
461	0.1299730112
462	0.1296933985
463	0.1294803881
464	0.1294158206
465	0.1291115134
466	0.128758954
467	0.1286789809
468	0.1284122122
469	0.1281131956
470	0.1279207145
471	0.1276548077
472	0.1274752662
473	0.1273549654
474	0.1272408531
475	0.1271808071
476	0.1271208125
477	0.1269703704
478	0.1266668293
479	0.1264646761
480	0.126298649
481	0.125981749
482	0.1258833895
483	0.1256861797
484	0.1253129238
485	0.125179731
486	0.1249492457
487	0.1248222893
488	0.1247211289
489	0.1245110035
490	0.1242879623
491	0.1242281351
492	0.1240847077
493	0.123825983
494	0.1236484765
495	0.123496658
496	0.1232946124
497	0.1230362109
498	0.1229813844
499	0.1228535182
56389866
